handle,sku,vendor,title,status,product_type,has_ebay,reason
bv-david-webb-18k-yellow-gold-carnelian-and-diamond-bombe-earrings-rr7028,RR7028,David Webb,David Webb 18K Yellow Gold Carnelian And Diamond Bombe Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-azurmalachite-and-diamond-bombe-fluted-clip-earrings-rr8626,RR8626,David Webb,David Webb Platinum & 18K Yellow Gold Azurmalachite And Diamond Bombe Fluted Clip Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-escargot-fluted-round-gold-link-bracelet-rr8567,RR8567,David Webb,David Webb Platinum & 18K Yellow Gold Escargot Fluted Round Gold Link Bracelet,ARCHIVED,Bracelets,false,status:ARCHIVED
bv-cartier-18k-yellow-gold-tank-francaise-25-ref-1821-ladies-diamond-watch-rr8601,RR8601,Cartier,"Pre-Owned Cartier 18K Yellow Gold Tank Francaise 25,, Ref 1821 Women Diamond Watch",ACTIVE,Watch,true,watch
bv-david-webb-18k-yellow-gold-diamond-cabochon-oval-cut-emerald-ruby-sapphire-hinged-bracelet-rr8557,RR8557,David Webb,"David Webb 18K Yellow Gold Diamond, Cabochon Oval Cut Emerald, Ruby Sapphire Hinged Bracelet",ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-diamond-emerald-sapphire-and-green-earrings-rr8550,RR8550,David Webb,"David Webb 18K Yellow Gold Diamond, Emerald, Sapphire And Green Earrings",ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-notre-dame-rock-crystal-bracelet-rr8548,RR8548,David Webb,David Webb Platinum & 18K Yellow Gold Notre Dame Rock Crystal Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-black-enamel-diamond-fluted-shrimp-style-clip-earrings-rr8547,RR8547,David Webb,David Webb Platinum & 18K Yellow Gold Black Enamel Diamond Fluted Shrimp Style Clip Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-diamond-and-black-enamel-clip-on-earrings-rr8542,RR8542,David Webb,David Webb Platinum & 18K Yellow Gold Diamond And Black Enamel Clip On Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-dappled-white-enamel-diamond-horse-bracelet-rr8524,RR8524,David Webb,David Webb Platinum & 18K Yellow Gold Dappled White Enamel Diamond Horse Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-dinner-roll-necklace-rr8521,RR8521,David Webb,David Webb Platinum & 18K Yellow Gold Dinner Roll Necklace,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-amethyst-coral-and-rock-crystal-star-brooch-rr8517,RR8517,David Webb,"David Webb Platinum & 18K Yellow Gold Amethyst, Coral And Rock Crystal Star Brooch",ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-amethyst-and-cabochon-green-emeralds-earrings-rr8501,RR8501,David Webb,David Webb Platinum & 18K Yellow Gold Amethyst And Cabochon Green Emeralds Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
