id,handle,title,vendor,product_type,status,sku,qty,price,published,image_count,has_ebay_tag,has_backvault,has_lab_grown,ebay_condition,condition,tags
gid://shopify/Product/7633248616519,bv-cartier-juste-un-clou-18k-rose-gold-diamond-chain-35-inch-necklace-rr7858,Cartier Juste Un Clou 18K Rose Gold Diamond Chain 35 Inch Necklace,Cartier,Necklaces,ACTIVE,RR7858,1,38200.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|designer-jewelry|ebay|Necklaces
gid://shopify/Product/7633248649287,bv-david-webb-18k-yellow-gold-large-dome-oval-button-signature-hammered-earrings-rr7920,David Webb 18K Yellow Gold Large Dome Oval Button Signature Hammered Earrings,David Webb,Earrings,ACTIVE,RR7920,1,42100.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248682055,bv-david-webb-platinum-18k-yellow-gold-large-oversized-jade-ruby-clip-on-earrings-rr7919,David Webb Platinum & 18K Yellow Gold Large Oversized Jade Ruby Clip On Earrings,David Webb,Earrings,ACTIVE,RR7919,1,47900.00,true,7,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248714823,bv-david-webb-gold-black-enamel-diamond-signature-earrings-rr7201,David Webb Gold Black Enamel Diamond Signature Earrings,David Webb,Earrings,ACTIVE,RR7201,1,24500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248747591,bv-van-cleef-arpels-18k-yellow-gold-diamond-cover-open-link-watch-rr7666,Pre-Owned Van Cleef & Arpels 18K Yellow Gold Diamond Cover Open Link Watch,Van Cleef & Arpels,Watch,ACTIVE,RR7666,1,18000.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Circa 1960|designer-jewelry|ebay|Pre-Owned Watches|Van Cleef & Arpels|Watch|Watches
gid://shopify/Product/7633248813127,bv-david-webb-platinum-18k-yellow-gold-paisley-diamond-earrings-rr7662,David Webb Platinum & 18K Yellow Gold Paisley Diamond Earrings,David Webb,Earrings,ACTIVE,RR7662,1,11500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248878663,bv-david-webb-18k-yellow-gold-hammered-finish-jumbo-shrimp-earrings-rr7661,David Webb 18K Yellow Gold Hammered Finish Jumbo Shrimp Earrings,David Webb,Earrings,ACTIVE,RR7661,1,11500.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633248944199,bv-david-webb-18k-yellow-gold-pink-coral-cluster-and-diamond-brooch-rr7652,David Webb 18K Yellow Gold Pink Coral Cluster And Diamond Brooch,David Webb,Brooches,ACTIVE,RR7652,1,50500.00,true,8,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Brooches|David Webb|designer-jewelry|ebay
gid://shopify/Product/7633248976967,bv-david-webb-platinum-18k-yellow-gold-azurmalachite-earrings-rr7648,David Webb Platinum & 18K Yellow Gold Azurmalachite Earrings,David Webb,Earrings,ACTIVE,RR7648,1,10200.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633249009735,bv-david-webb-platinum-18k-yellow-gold-diamond-oval-clip-on-earrings-rr7743,David Webb Platinum & 18K Yellow Gold Diamond Oval Clip On Earrings,David Webb,Earrings,ACTIVE,RR7743,1,23200.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|C. 1970|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633249042503,bv-van-cleef-arpels-18k-white-gold-sweet-alhambra-diamond-size-47-ring-rr7766,Van Cleef & Arpels 18K White Gold Sweet Alhambra Diamond Size 47 Ring,Van Cleef & Arpels,Rings,ARCHIVED,RR7766,0,4800.00,false,5,false,true,false,,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|designer-jewelry|Rings|Van Cleef & Arpels
gid://shopify/Product/7633249075271,bv-van-cleef-arpels-18k-yellow-gold-pave-round-diamond-cluster-earrings-rr7748,Van Cleef & Arpels 18K Yellow Gold Pave Round Diamond Cluster Earrings,Van Cleef & Arpels,Earrings,ACTIVE,RR7748,1,41400.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|designer-jewelry|Earrings|ebay|Van Cleef & Arpels
gid://shopify/Product/7633249108039,bv-cartier-18k-white-gold-legers-diamants-spotlight-necklace-rr7785,Cartier 18K White Gold L'egers Diamants Spotlight Necklace,Cartier,Necklaces,ACTIVE,RR7785,1,127200.00,true,5,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Cartier|designer-jewelry|ebay|Necklaces
