sku,qty,status,vendor,title,handle,has_ebay,tags
3148,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0018,w-3148,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0018"
3149,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0018,w-3149,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0018"
3150,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0018,w-3150,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0018"
3151,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0018,w-3151,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0018"
3152,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0030,w-3152,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0030"
3153,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0018,w-3153,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0018"
3159,0,ARCHIVED,ROLEX,Rolex Yachtmaster 126621,w-3159,True,"126621,ebay,lmny-feed,papers-only,Rolex,SLIDER,Watches,Yachtmaster"
3160,0,ARCHIVED,ROLEX,Pre-Owned Rolex Submariner Date 16800,w-3160,True,"16800,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Submariner Date,Watches"
3172,0,ARCHIVED,ROLEX,Rolex Sky Dweller 336938,w-3172,True,"336938,ebay,lmny-feed,papers-only,RETAIL READY,Rolex,Sky Dweller,Watches"
3176,0,ARCHIVED,ROLEX,Rolex Datejust 126233,w-3176,True,"126233,Datejust,ebay,full-set,lmny-feed,RETAIL READY,Rolex,Watches"
3179,0,ARCHIVED,ROLEX,Unworn Rolex Oyster Perpetual 134300,w-3179,True,"134300,ebay,lmny-feed,Oyster Perpetual,papers-only,Rolex,Unworn Watches,Watches"
3192,1,ARCHIVED,ROLEX,Pre-Owned Rolex Submariner Date 126613LN,w-3192,False,"126613LN,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Submariner Date,Watches"
3193,0,ARCHIVED,ROLEX,Pre-Owned Rolex Air-King 116900,w-3193,False,"116900,Air-King,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
