#INFO,Version=1.0.0,,Template=eBay-taxonomy-mapping-template_US,
#INFO,Set A,,Set B,
Custom Label (SKU),Item Photo URL,Title,Category,Aspects
w-3872,https://cdn.shopify.com/s/files/1/1727/2565/files/3872_38524d8d-c960-4b00-9c67-906e3d135523.jpg,Rolex Day-Date 228345 Mens Unworn Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date|Reference Number=228345|Condition=New other|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-3877,https://cdn.shopify.com/s/files/1/1727/2565/files/3877_1289638e-8ccb-4401-b817-f8afaf42eee7.jpg,Cartier Santos WSSA0018 Unisex Pre-Owned Watch w/ Papers,Wristwatches,Brand=Cartier|Department=Unisex Adults|Type=Wristwatch|Model=Santos|Reference Number=WSSA0018|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-3882,https://cdn.shopify.com/s/files/1/1727/2565/files/3882_f9202669-a1e7-4a97-84c9-fb2465647814.jpg,Rolex Day-Date 228235 Mens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date|Reference Number=228235|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-3906,https://cdn.shopify.com/s/files/1/1727/2565/files/3906.jpg,Rolex Datejust 116263 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=116263|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-3912,https://cdn.shopify.com/s/files/1/1727/2565/files/3912.jpg,Cartier Santos W2SA0008 Unisex Good Watch No Box/Papers,Wristwatches,Brand=Cartier|Department=Unisex Adults|Type=Wristwatch|Model=Santos|Reference Number=W2SA0008|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-3967,https://cdn.shopify.com/s/files/1/1727/2565/files/3967_72c94f06-ef08-4d94-a751-7258b358807a.jpg,Rolex Lady Date Just 6916 Womens Excellent Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Lady Date Just|Reference Number=6916|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-3979,https://cdn.shopify.com/s/files/1/1727/2565/files/3979_1fded327-15f0-4cc7-a0a9-24db7624d770.jpg,Rolex Submariner Date 126610LN Mens Excellent Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Submariner Date|Reference Number=126610LN|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-3994,https://cdn.shopify.com/s/files/1/1727/2565/files/3994.jpg,Rolex Sky-Dweller 336938 Mens Pre-Owned Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Sky-Dweller|Reference Number=336938|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-4081,https://cdn.shopify.com/s/files/1/1727/2565/files/4081.jpg,Rolex Day-Date 228239 Mens Pre-Owned Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Day-Date|Reference Number=228239|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-4085,https://cdn.shopify.com/s/files/1/1727/2565/files/4085_60125610-0669-4562-a685-faffc8f58765.jpg,Rolex Oyster Perpetual 134300 Unisex Excellent Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=134300|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-4097,https://cdn.shopify.com/s/files/1/1727/2565/files/4097_1665fa44-0e6c-4c8d-a57b-2a13a6f8794f.jpg,Rolex Datejust 278383RBR Womens Pre-Owned Watch Full Set Box & Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Datejust|Reference Number=278383RBR|Condition=Pre-owned|With Original Box/Packaging=Yes|With Papers=Yes|Vintage=No
w-6197,https://cdn.shopify.com/s/files/1/1727/2565/files/6197.jpg,Audemars Piguet Royal Oak Selfwinding 26240BA.OO.1320BA.02 Mens Unworn w/ Papers,Wristwatches,Brand=Audemars Piguet|Department=Men|Type=Wristwatch|Model=Royal Oak Selfwinding|Reference Number=26240BA.OO.1320BA.02|Condition=New other|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-8114,https://cdn.shopify.com/s/files/1/1727/2565/files/8114_303136b0-429d-4601-b132-bc468d3b9cba.jpg,Rolex GMT-Master II 116718LN Mens Retail Ready Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=GMT-Master II|Reference Number=116718LN|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-8704,https://cdn.shopify.com/s/files/1/1727/2565/files/8704_b8146772-2733-4f6f-8434-5311e316eabb.jpg,Rolex Datejust 279174 Womens Retail Ready Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Datejust|Reference Number=279174|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-8730,https://cdn.shopify.com/s/files/1/1727/2565/files/8730.jpg,Rolex Oyster Perpetual 76094 Unisex Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=76094|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8731,https://cdn.shopify.com/s/files/1/1727/2565/files/8731.jpg,Rolex Oyster Perpetual 14233 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=14233|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-8732,https://cdn.shopify.com/s/files/1/1727/2565/files/8732_f752257c-2de4-42a2-88ed-e1f26e13c953.jpg,Rolex Oyster Perpetual 15203 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=15203|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-8750,https://cdn.shopify.com/s/files/1/1727/2565/files/8750_0db70283-f0aa-4e6e-818a-f3e3467d83ec.jpg,Rolex Precision 6105 Mens Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Precision|Reference Number=6105|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8758,https://cdn.shopify.com/s/files/1/1727/2565/files/8758_b3f5a3f0-2790-4328-9cc6-7f184b8261d2.jpg,Rolex Datejust 1601 Unisex Retail Ready Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=1601|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8821,https://cdn.shopify.com/s/files/1/1727/2565/files/8821_abf450c5-336b-440a-b8e9-69d23c962aad.jpg,Rolex Oyster Perpetual 2940 Unisex Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=2940|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8822,https://cdn.shopify.com/s/files/1/1727/2565/files/8822.jpg,Rolex Datejust 1601 Unisex Retail Ready Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=1601|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
