Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,*C:Brand,*C:Department,*C:Type,C:Reference Number,C:Customized,C:Style,C:Model,C:Features,C:Movement,C:Dial Color,C:Band Color,C:Bezel Color,C:Case Color,C:Band Material,C:Display,C:Case Material,C:Water Resistance,C:Year Manufactured,C:With Original Box/Packaging,C:With Papers,C:Indices,C:Case Size,C:Watch Shape,C:Number of Jewels,C:Band/Strap,C:Country of Origin,C:Dial Pattern,C:Caseback,C:Bezel Type,C:Vintage,C:Band Width,C:Lug Width,C:Theme,C:Case Finish,C:With Manual/Booklet,C:Seller Warranty,C:With Service Records,C:Handmade,C:Case Thickness,C:Manufacturer Warranty,C:Escapement Type,C:Max Wrist Size,C:Closure,C:Handedness,C:California Prop 65 Warning,C:Unit Quantity,C:Unit Type,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,ProductCompliancePolicyID,Regional ProductCompliancePolicies,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,w-3682,31387,,Rolex Day-Date 228239 Mens Pre-Owned Watch w/ Papers,,,,,3000,Rolex,Men,Wristwatch,228239,,,Day-Date,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3682_6d15c414-609e-45b1-9e65-b66c4b0e5209.jpg?v=1786082381,,,"Pre-Owned Rolex Day-Date 228239 from October 2019. Offered with papers, but without the original box.",FixedPrice,GTC,48379.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3838,31387,,Rolex Day-Date 228235 Mens Excellent Watch No Box/Papers,,,,,3000,Rolex,Men,Wristwatch,228235,,,Day-Date,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3838_8736ec77-8e15-4e84-93d3-e76c56beabf8.jpg?v=1786082424,,,"Pre-Owned Rolex Day-Date 228235. Offered on its own, without box or papers. Excellent condition.",FixedPrice,GTC,54345.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3850,31387,,Rolex Submariner No Date 114060 Mens Mint Watch w/ Papers,,,,,3000,Rolex,Men,Wristwatch,114060,,,Submariner No Date,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3850_056bf8fd-550c-40d6-8b04-2f4df69759b6.jpg?v=1786082429,,,"Pre-Owned Rolex Submariner No Date 114060 from December 2017. Offered with papers, but without the original box.",FixedPrice,GTC,11632.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3869,31387,,Rolex Day-Date 228238 Mens Excellent Watch w/ Papers,,,,,3000,Rolex,Men,Wristwatch,228238,,,Day-Date,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3869_16ed25ed-b8f3-44b0-94c8-ce9891403e19.jpg?v=1786082431,,,"Pre-Owned Rolex Day-Date 228238 from August 2019. Offered with papers, but without the original box. Excellent condition.",FixedPrice,GTC,47045.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3872,31387,,Rolex Day-Date 228345 Mens Unworn Watch w/ Papers,,,,,1500,Rolex,Men,Wristwatch,228345,,,Day-Date,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3872_38524d8d-c960-4b00-9c67-906e3d135523.jpg?v=1786082433,,,"Unworn Rolex Day-Date 228345 from October 2022. Offered with papers, but without the original box.",FixedPrice,GTC,77595.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3877,31387,,Cartier Santos WSSA0018 Unisex Pre-Owned Watch w/ Papers,,,,,3000,Cartier,Unisex Adults,Wristwatch,WSSA0018,,,Santos,,,,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3877_1289638e-8ccb-4401-b817-f8afaf42eee7.jpg?v=1786082435,,,"Pre-Owned Cartier Santos WSSA0018 from December 2024. Offered with papers, but without the original box.",FixedPrice,GTC,7857.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3882,31387,,Rolex Day-Date 228235 Mens Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Men,Wristwatch,228235,,,Day-Date,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3882_f9202669-a1e7-4a97-84c9-fb2465647814.jpg?v=1786082436,,,"Pre-Owned Rolex Day-Date 228235. Offered on its own, without box or papers.",FixedPrice,GTC,54345.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3906,31387,,Rolex Datejust 116263 Unisex Pre-Owned Watch No Box/Papers,,,,,3000,Rolex,Unisex Adults,Wristwatch,116263,,,Datejust,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3906.jpg?v=1786082449,,,"Pre-Owned Rolex Datejust 116263. Offered on its own, without box or papers.",FixedPrice,GTC,10767.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3912,31387,,Cartier Santos W2SA0008 Unisex Good Watch No Box/Papers,,,,,3000,Cartier,Unisex Adults,Wristwatch,W2SA0008,,,Santos,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3912.jpg?v=1786082454,,,"Pre-Owned Cartier Santos W2SA0008. Offered on its own, without box or papers. Good condition.",FixedPrice,GTC,13362.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,w-3967,31387,,Rolex Lady Date Just 6916 Womens Excellent Watch No Box/Papers,,,,,3000,Rolex,Women,Wristwatch,6916,,,Lady Date Just,,,,,,,,,,,,No,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1727/2565/files/3967_72c94f06-ef08-4d94-a751-7258b358807a.jpg?v=1786082482,,,"Pre-Owned Rolex Lady Date Just 6916. Offered on its own, without box or papers. Excellent condition.",FixedPrice,GTC,3638.00,,,,,1,,"New York, NY",,,,,,,,,,,,,,Daily Deals - 1Handling Day,14 Day Returns Accepted,eBay Managed Payments (246832199020),,,,,,,,,,,,,,,,,,,,,,,,,,,
